OLL-1,"Runway","CFOP-OLL","R U2 R2' F R F' U2' R' F R F'","Orients edges and corners (dot case)","No top-layer edges oriented (dot)","speedsolving.com:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}"
OLL-2,"Zamboni","CFOP-OLL","F (R U R' U') F' f (R U R' U') f'","Orients edges and corners (dot case)","No edges oriented (dot), specific corner arrangement","speedsolving.com"
OLL-3,"Anti-Mouse","CFOP-OLL","f (R U R' U') f' U' F (R U R' U') F'","Orients edges and corners (dot case)","No edges oriented, “Anti-mouse” pattern","speedsolving.com"
OLL-4,"Mouse","CFOP-OLL","f (R U R' U') f' U F (R U R' U') F'","Orients edges and corners (dot case)","No edges oriented, “Mouse” pattern","speedsolving.com"
OLL-5,"Tank","CFOP-OLL","R U R' U (R' F R F') U2 (R' F R F')","Orients edges and corners (dot case)","No edges oriented, shape looks like a tank","speedsolving.com"
OLL-6,"Streetlights","CFOP-OLL","(y') r U R' U R U2 r2' U' R U' R' U2 r","Orients edges and corners (dot case)","No edges oriented, two opposite corner blocks","speedsolving.com"
OLL-7,"Butterfly","CFOP-OLL","r' R U (R U R' U') r R2' F R F'","Orients edges and corners (dot case)","No edges oriented, “Butterfly” pattern","speedsolving.com"
OLL-8,"Bolt","CFOP-OLL","M U (R U R' U') M' (R' F R F')","Orients edges and corners (dot case)","No edges oriented, M-slice shape","speedsolving.com"
OLL-9,"Fish Hook","CFOP-OLL","(y) R' U' F' U F R U R' U' R U' R'","Orients edges and corners (L shape)","One edge oriented (L-shaped pattern)","speedsolving.com"
OLL-10,"Anti Fish Hook","CFOP-OLL","(y2) F (U R U' R') F' U R U' R' U' R U' R'","Orients edges and corners (L shape)","One edge oriented (L-shape mirrored)","speedsolving.com"
OLL-11,"Headlights","CFOP-OLL","(R U R' U')^2 (R' F R F')^2","Orients edges and corners (L shape)","Two adjacent corners oriented (headlights):contentReference[oaicite:2]{index=2}","cubingcheatsheet.com"
OLL-12,"T","CFOP-OLL","(R U R' U') (R' F R F')","Orients edges and corners (L shape)","T-shape on top layer","cubingcheatsheet.com:contentReference[oaicite:3]{index=3}"
OLL-13,"Gun","CFOP-OLL","F (U R U' R2) F' (R U R U') R'","Orients edges and corners (L shape)","“Gun” shape (large L) on top","cubingcheatsheet.com"
OLL-14,"Anti-Gun","CFOP-OLL","(R' F R) U (R' F' R) y' (R U' R')","Orients edges and corners (L shape)","Mirror of Gun case","cubingcheatsheet.com"
OLL-15,"Squeegee","CFOP-OLL","(r' U' r) (R' U' R U) (r' U r)","Orients edges and corners (L shape)","Squares pattern (large L)","cubingcheatsheet.com"
